,hours
873,2
874,2
875,1
876,16
877,0
878,21
879,15
880,23
881,19
882,15
883,23
884,0
885,0
886,1
887,16
888,1
889,0
890,23
891,2
892,0
893,16
894,0
895,16
896,15
897,1
898,1
899,15
900,1
901,0
902,1
903,0
904,1
905,23
906,15
907,1
908,16
909,16
910,1
911,0
912,2
913,0
914,1
915,0
916,0
917,14
918,1
919,0
920,0
921,16
922,0
923,1
924,15
925,1
926,0
927,2
928,1
929,0
930,0
931,0
932,16
933,1
934,0
935,18
936,2
937,0
938,2
939,1
940,0
941,2
942,23
943,15
944,1
945,23
946,16
947,0
948,21
949,17
950,1
951,0
952,20
953,16
954,15
955,1
956,1
957,1
958,1
959,22
960,16
961,1
962,0
963,16
964,2
965,2
966,0
967,15
968,1
969,0
970,0
971,23
972,19
973,1
974,0
975,20
976,1
977,15
978,3
979,1
980,1
981,1
982,23
983,2
984,1
985,20
986,15
987,15
988,1
989,0
990,22
991,19
992,2
993,18
994,17
995,15
996,1
997,0
998,1
999,15
1000,1
1001,15
1002,2
1003,0
1004,23
1005,2
1006,0
1007,16
1008,15
1009,2
1010,1
1011,23
1012,1
1013,0
1014,1
1015,0
1016,22
1017,17
1018,2
1019,1
1020,16
1021,17
1022,1
1023,1
1024,1
1025,19
1026,15
1027,0
1028,2
1029,1
1030,1
1031,23
1033,17
1034,2
1035,1
1036,23
1037,20
1038,1
1039,21
1040,1
1041,1
1042,15
1043,14
1044,2
1045,22
1046,1
1047,1
1048,0
1049,17
1050,16
1051,14
1052,1
1053,0
1054,21
1055,2
1056,1
1057,23
1058,18
1059,16
1060,3
1061,2
1062,2
1063,23
1064,15
1065,2
1066,1
1067,0
1068,19
1069,17
1070,2
1071,1
1072,18
1073,17
1074,4
1075,3
1076,2
1077,1
1078,20
1079,18
1080,16
1081,3
1082,1
1083,22
1084,16
1085,4
1086,3
1087,2
1088,1
1089,21
1090,20
1091,4
1092,3
1093,1
1094,1
1095,17
1096,3
1097,0
1098,21
1099,17
1100,16
1101,5
1102,2
1103,1
1104,23
1105,17
1106,4
1107,4
1108,23
1109,16
1110,3
1111,19
1112,17
1113,16
1114,3
1115,2
1116,18
1117,16
1118,3
1119,2
1120,1
1121,0
1122,20
1123,2
1124,1
1125,17
1126,16
1127,1
1128,21
1129,2
1130,2
1131,17
1132,16
1133,3
1134,2
1135,0
1136,23
1137,17
1138,4
1139,2
1140,19
1141,2
1142,1
1143,20
1144,17
1145,2
1146,23
1147,19
1148,4
1149,2
1150,21
1151,2
1152,0
1153,23
1154,1
1155,3
1156,2
1157,1
1158,21
1159,18
1160,3
1161,2
1162,23
1163,3
1164,2
1165,2
1166,21
1167,18
1168,17
1169,3
1170,2
1171,2
1172,2
1173,20
1174,4
1175,3
1176,2
1177,2
1178,23
1179,20
1180,4
1181,3
1182,3
1183,1
1184,21
1185,19
1186,16
1187,3
1188,3
1189,22
1190,16
1191,3
1192,3
1193,21
1194,17
1195,16
1196,4
1197,3
1198,0
1199,20
1200,3
1201,1
1202,0
1203,18
1204,16
1205,4
1206,3
1207,3
1208,2
1209,3
1210,3
1211,2
1212,2
1213,17
1214,15
1215,0
1216,18
1217,3
1218,2
1219,0
1220,15
1221,3
1222,0
1223,18
1224,4
1225,2
1226,2
1227,1
1228,15
1229,23
1230,3
1231,2
1232,1
1233,17
1234,15
1235,3
1236,23
1237,4
1238,3
1239,3
1240,2
1241,0
1242,17
1243,3
1244,2
1245,0
1246,19
1247,16
1248,15
1249,3
1250,3
1251,2
1252,2
1253,21
1254,16
1255,4
1256,2
1257,2
1258,18
1259,3
1260,1
1261,0
1262,16
1263,3
1264,22
1265,17
1266,4
1267,3
1268,2
1269,0
1270,18
1271,3
1272,2
1273,18
1274,16
1275,16
1276,3
1277,2
1278,0
1279,21
1280,18
1281,5
1282,3
1283,2
1284,19
1285,4
1286,3
1287,2
1288,2
1289,1
1290,20
1291,18
1292,15
1293,4
1294,4
1295,1
1296,0
1297,21
1298,18
1299,3
1300,3
1301,2
1302,2
1303,18
1304,17
1305,2
1306,2
1307,1
1308,1
1309,21
1310,19
1311,18
1312,2
1313,0
1314,15
1315,4
1316,2
1317,21
1318,18
1319,2
1320,2
1321,1
1322,18
1323,15
1324,4
1325,3
1326,3
1327,2
1328,16
1329,16
1330,4
1331,4
1332,3
1333,2
1334,2
1335,16
1336,3
1337,2
1338,22
1339,18
1340,17
1341,3
1342,2
1343,1
1344,5
1345,3
1346,2
1347,1
1348,23
1349,19
1350,3
1351,3
1352,1
1353,19
1354,18
1355,5
1356,4
1357,4
1358,3
1359,1
1360,20
1361,18
1362,4
1363,3
1364,2
1365,1
1366,0
1367,23
1368,18
1369,4
1370,2
1371,0
1372,21
1373,19
1374,5
1375,4
1376,4
1377,2
1378,2
1379,1
1380,1
1381,21
1382,19
1383,3
1384,3
1385,3
1386,2
1387,1
1388,22
1389,20
1390,4
1391,2
1392,1
1393,0
1394,20
1395,18
1396,4
1397,2
1398,1
1399,0
1400,21
1401,16
1402,5
1403,2
1404,22
1405,20
1406,19
1407,5
1408,3
1409,2
1410,2
1411,20
1412,17
1413,16
1414,4
1415,3
1416,2
1417,1
1418,23
1419,17
1420,4
1421,3
1422,1
1423,23
